symbol,window,stop_multiplier,target_multiplier,total_return_pct,sharpe_ratio,max_drawdown_pct,trade_count
QQQ,2016-09-19..2021-09-15,1.5,3.0,6.1214584120170334,1.002128140655265,1.3484964564488655,215
QQQ,2016-09-19..2021-09-15,1.5,4.0,6.115063325701198,0.977577343195124,1.7204243364517824,185
QQQ,2016-09-19..2021-09-15,1.5,6.0,7.132433858074649,1.1364395993628016,1.8191904659999223,117
QQQ,2016-09-19..2021-09-15,2.0,2.0,4.245559182494185,0.7079043847334106,1.8037674459650617,288
QQQ,2016-09-19..2021-09-15,2.0,3.0,6.0130939511573445,0.9517700168207133,1.5817205956835894,198
QQQ,2016-09-19..2021-09-15,2.0,4.0,5.800296696223195,0.9141678800834298,2.0444321021067395,146
QQQ,2016-09-19..2021-09-15,2.0,6.0,6.960982590550291,1.1104844165435972,2.0485586966969693,96
QQQ,2016-09-19..2021-09-15,3.0,2.0,5.557747884120934,0.8918818585626123,1.7887182853733288,206
QQQ,2016-09-19..2021-09-15,3.0,3.0,6.151757184828455,0.9529866405808757,1.7598045515935092,138
QQQ,2016-09-19..2021-09-15,3.0,4.0,6.922876230218722,1.077824600762773,1.487593438613456,107
QQQ,2016-09-19..2021-09-15,3.0,6.0,6.563455299713072,1.0078916703417848,1.8790623275365423,71
QQQ,2016-09-19..2021-09-15,4.0,2.0,4.8638265789086255,0.7485451052078564,1.710175820174743,181
QQQ,2016-09-19..2021-09-15,4.0,3.0,6.034777952638248,0.9121767813752681,1.8380675771586423,120
QQQ,2016-09-19..2021-09-15,4.0,4.0,6.545853438960458,0.9979689195174045,1.5347266675824665,95
QQQ,2016-09-19..2021-09-15,4.0,6.0,6.321429053864036,0.9366156093472199,1.9577759659810405,63
QQQ,2021-09-16..2026-09-18,1.0,2.0,3.6639964165816163,0.6391677573727921,3.4057532615551827,349
QQQ,2021-09-16..2026-09-18,1.0,3.0,3.836421460804229,0.627963681677049,3.485460042839282,257
QQQ,2021-09-16..2026-09-18,1.0,4.0,4.410849423254959,0.7001669595905357,3.571959933794666,204
QQQ,2021-09-16..2026-09-18,1.0,6.0,3.1002684018483606,0.49244461311988474,3.582209110540528,168
QQQ,2021-09-16..2026-09-18,1.5,2.0,1.6844158213512594,0.28057773032118183,4.114587980786645,287
QQQ,2021-09-16..2026-09-18,1.5,3.0,2.6490967354449557,0.4218301012570435,3.758243267447604,193
QQQ,2021-09-16..2026-09-18,1.5,4.0,2.1036982149756023,0.32688077470813004,4.281995031075266,160
